courseNumber;matnr
5001900;5721645
5001900;5721644
5001900;5721642
5001900;5721640
5001900;5721639
5001900;5721638
5001900;5721636
5001900;5721632
5001900;5721630
5001900;5721626
5001900;5721622
5001900;5721619
5001900;5721618
5001900;5721617
5001900;5721614
5001900;5721613
5001900;5721612
5001900;5721610
5001900;5721608
5001900;5721607
5001900;5721606
5001900;5721602
5001900;5721601
5001900;5721598
5001900;5721595
5001900;5721594
5001900;5721593
5001900;5721592
5001900;5721589
5001900;5721588
5001900;5721587
5001900;5721584
5001900;5721582
5001900;5721581
5001900;5721579
5001900;5721578
5001900;5721577
5001900;5721576
5001900;5721575
5001900;5721573
5001900;5721572
5001900;5721571
5001900;5721570
5001900;5721568
5001900;5721567
5001900;5721566
5001900;5721013
5001900;5720652
5001900;5720644
5001900;5720639
5001900;5720638
5001900;5720615
5001900;5720610
5001900;5720573
5001900;5720571
5001900;5719590
5001900;5719569
5001900;5718617
5002030;5721652
5002030;5721646
5002030;5721639
5002030;5721638
5002030;5721637
5002030;5721627
5002030;5721625
5002030;5721622
5002030;5721618
5002030;5721617
5002030;5721598
5002030;5721585
5002030;5721576
5002030;5721571
5002030;5721569
5002030;5721568
5002030;5721564
5002030;5720623
5002030;5720615
5002030;5719650
5002030;5719633
5002130;5720963
5002130;5720644
5002130;5720610
5002130;5720593
5002130;5720579
5002130;5719653
5002130;5719645
5002130;5719622
5002130;5719590
5002130;5719580
5002130;5718661
5002130;5718564
5002810;5720644
5002810;5720627
5002810;5720623
5002810;5720622
5002810;5720597
5002810;5720579
5002810;5720573
5002810;5720571
5002810;5720566
5002810;5719657
5002810;5719645
5002810;5718607
5003028;5819638
5003028;5819585
5003028;5818667
5003028;5818659
5003028;5719627
5003028;5719596
5003028;5719577
5003028;5719564
5003028;5718665
5003028;5718603
5003028;5718600
5003028;5718597
5003028;5718571
5003065;6820969
5003065;6820966
5003065;6820660
5003065;6819659
5003065;6819658
5003065;6819653
5003065;6819641
5003065;6819639
5003065;6819637
5003065;6819633
5003065;6819628
5003065;6819619
5003065;6819609
5003065;6819608
5003065;6819607
5003065;6819599
5003065;6819586
5003065;6819581
5003065;6819579
5003065;6819578
5003065;6819576
5003065;6819575
5003065;6819563
5003065;6818618
5003084;6821015
5003084;6819611
5003084;6819601
5003084;6819583
5003084;5819659
5003084;5819649
5003084;5819643
5003084;5819639
5003084;5819637
5003084;5819629
5003084;5819626
5003084;5819567
5003084;5720968
5003084;5719657
5003084;5719632
5003084;5719618
5003084;5719607
5003084;5719588
5003084;5719578
5003084;5719574
5003092;5719644
5003092;5719614
5003092;5719600
5003092;5719596
5003092;5719563
5003095;5719636
5003095;5718665
5003095;5718578
5003109;5820612
5003109;5819640
5003109;5819620
5003109;5720638
5003109;5719613
5003109;5719599
5003109;5719571
5003109;5719570
5003109;5719564
5003123;5719647
5003130;5819632
5003130;5818642
5003130;5719606
5003130;5719594
5003130;5719580
5003130;5718571
5003133;6821018
5003140;5720968
5003140;5720583
5003140;5720566
5003140;5719648
5003140;5719573
5003140;5719571
5003140;5719570
5003143;6821015
5003143;6820965
5003143;6820652
5003143;6819637
5003143;6819624
5003143;6819623
5003143;6819613
5003143;6819612
5003143;6819607
5003143;6819604
5003143;6819602
5003143;6819600
5003143;6819599
5003143;6819593
5003143;6819588
5003143;6819572
5003143;6819563
5003143;6818604
5003144;5819586
5003144;5818633
5003144;5719633
5003144;5719632
5003144;5719621
5003144;5719616
5003144;5719613
5003144;5719580
5003144;5718620
5003146;6820966
5003146;6820660
5003146;6820637
5003146;6819666
5003146;6819659
5003146;6819642
5003146;6819633
5003146;6819628
5003146;6819619
5003146;6819617
5003146;6819613
5003146;6819607
5003146;6819605
5003146;6819598
5003146;6819579
5003146;6819575
5003146;6819568
5003146;6818636
5003146;6817665
5003154;6820637
5003154;6819660
5003154;6819650
5003154;6819642
5003154;6819628
5003154;6819619
5003154;6819618
5003154;6819568
5003154;6819566
5003154;6819564
5003154;6818674
5003167;6819634
5003167;6818673
5003167;6817665
5003170;9822677
5003170;6821017
5003170;6820965
5003170;6819653
5003170;6819602
5003170;6819592
5003170;6819591
5003170;6819581
5003170;6819572
5003170;6817633
5003170;6816644
5003170;5819638
5003170;5719644
5003170;5719627
5003170;5719621
5003170;5719607
5003170;5719600
5003170;5719588
5003170;5719580
5003170;5719578
5003170;5719577
5003170;5719572
5003170;5719564
5003180;5819664
5003180;5819646
5003180;5819642
5003180;5819634
5003180;5819621
5003180;5819618
5003180;5818673
5003180;5818654
5003180;5818623
5003180;5818614
5003180;5719657
5003180;5719618
5003180;5719583
5003188;9822677
5003188;6819600
5003188;6819598
5003188;6819589
5003188;6819564
5003188;6818963
5003188;5819661
5003188;5819631
5003188;5819585
5003188;5819570
5003188;5818654
5003188;5818629
5003188;5719645
5003188;5719636
5003188;5719633
5003188;5719630
5003188;5719629
5003188;5719628
5003188;5719614
5003188;5719595
5003188;5719577
5003188;5719574
5003188;5719568
5003188;5718655
5003189;6821017
5003189;6819660
5003189;6819658
5003189;6819650
5003189;6819647
5003189;6819641
5003189;6819634
5003189;6819566
5003189;6818606
5003190;6819666
5003194;9822622
5003194;9822621
5003194;5819664
5003194;5819650
5003194;5721014
5003194;5720583
5003194;5719632
5003194;5719595
5003194;4323268
5003198;9822677
5003198;6819594
5003198;5819641
5003198;5818673
5003198;5719606
5003198;5718580
5003199;5820612
5003199;5819646
5003199;5819628
5003199;5819625
5003199;5818645
5003199;5818642
5003199;5818640
5003199;5818623
5003199;5720566
5003199;5719594
5003199;5719572
5003199;5718658
5003199;5718641
5003199;5718622
5003220;5720655
5003220;5720652
5003220;5720644
5003220;5720616
5003220;5720615
5003220;5720614
5003220;5720597
5003220;5720593
5003220;5720579
5003220;5720568
5003220;5720567
5003220;5720563
5003220;5719653
5003220;5719647
5003220;5719626
5003230;5722963
5003230;5722631
5003230;5722569
5003230;5721657
5003230;5721654
5003230;5721652
5003230;5721649
5003230;5721648
5003230;5721646
5003230;5721645
5003230;5721644
5003230;5721642
5003230;5721640
5003230;5721639
5003230;5721638
5003230;5721636
5003230;5721632
5003230;5721630
5003230;5721626
5003230;5721625
5003230;5721622
5003230;5721618
5003230;5721613
5003230;5721612
5003230;5721610
5003230;5721608
5003230;5721607
5003230;5721606
5003230;5721604
5003230;5721602
5003230;5721601
5003230;5721598
5003230;5721595
5003230;5721594
5003230;5721593
5003230;5721592
5003230;5721589
5003230;5721588
5003230;5721587
5003230;5721584
5003230;5721582
5003230;5721581
5003230;5721579
5003230;5721578
5003230;5721577
5003230;5721575
5003230;5721573
5003230;5721572
5003230;5721571
5003230;5721570
5003230;5721568
5003230;5721567
5003230;5721566
5003230;5720642
5003230;5720583
5003230;5720573
5003230;5720571
5003230;5719622
5003230;5718617
5003230;5718564
5003802;5819655
5003802;5819651
5003802;5819646
5003802;5819620
5003802;5818623
5003802;5818563
5003802;5719636
5003802;5719630
5003802;5719629
5003802;5719613
5003802;5719595
5003802;5719568
5003802;5718622
5003803;6820660
5003803;6819617
5003803;6819570
5003803;5819638
5003804;5819674
5003804;5819673
5003804;5819650
5003804;5819644
5003804;5819582
5003804;5818569
5003804;5818563
5003804;5719583
5004202;5720599
5004202;5719648
5004202;5719644
5004202;5719630
5004202;5719627
5004202;5719618
5004202;5719614
5004202;5719607
5004202;5719606
5004202;5719603
5004202;5719600
5004202;5719596
5004202;5719588
5004202;5719583
5004202;5719578
5004202;5719573
5004202;5719572
5004202;5719571
5004202;5719570
5004202;5719567
5004202;5719564
5004202;5719563
5004202;5718638
5004202;5718611
5004202;5718600
5005202;5721014
5005202;5719632
5005202;5719594
5005202;5719577
5005202;5718620
5005202;5718563
5007212;6819963
5007212;6819643
5007212;6819578
5007212;6819566
5007212;6818596
5007212;5819674
5007212;5819673
5007212;5819644
5007212;5819638
5007212;5819633
5007212;5819629
5007212;5819586
5007212;5819582
5007212;5818667
5007212;5818659
5007212;5818654
5007212;5818569
5007212;5818018
5007212;5720576
5007212;5719645
5007212;5719628
5007212;5719574
5007212;5719568
5007212;5718655
5007212;5718650
5007212;5718571
5071038;5823302
5071038;5823293
5071038;5823291
5071038;5823277
5071038;5823275
5071038;5823271
5071038;5823266
5071038;5823263
5071054;5723369
5071054;5723367
5071054;5723364
5071054;5723266
5071054;5723264
5071054;5722284
5071054;5722282
5071054;5722281
5071058;5723381
5071058;5723377
5071058;5723275
5071058;5723274
5071058;5723271
5071058;5723270
5071058;5723267
5071058;5723264
5071058;5722288
5071058;5722282
5071058;5722281
5071058;5722279
5071058;5722275
5071058;5721324
5074130;5722295
5074130;5722287
5074130;5721313
5074130;5721274
5074210;5722295
5077120;5722295
5077120;5722285
5077120;5722278
5081010;5723381
5081010;5723380
5081010;5723379
5081010;5723378
5081010;5723376
5081010;5723375
5081010;5723374
5081010;5723373
5081010;5723371
5081010;5723370
5081010;5723369
5081010;5723368
5081010;5723367
5081010;5723365
5081010;5723364
5081010;5723363
5081010;5723362
5081010;5723275
5081010;5723274
5081010;5723271
5081010;5723270
5081010;5723269
5081010;5723267
5081010;5723266
5081010;5723264
5081010;5723263
5081010;5722279
5081010;5722275
5081020;5723381
5081020;5723380
5081020;5723379
5081020;5723378
5081020;5723377
5081020;5723376
5081020;5723375
5081020;5723374
5081020;5723373
5081020;5723371
5081020;5723370
5081020;5723369
5081020;5723368
5081020;5723367
5081020;5723365
5081020;5723364
5081020;5723363
5081020;5723362
5081020;5723274
5081020;5723270
5081020;5723269
5081020;5723267
5081020;5723266
5081020;5723264
5081020;5723263
5081020;5722275
5081030;5723381
5081030;5723380
5081030;5723378
5081030;5723377
5081030;5723376
5081030;5723375
5081030;5723374
5081030;5723373
5081030;5723371
5081030;5723370
5081030;5723369
5081030;5723368
5081030;5723367
5081030;5723365
5081030;5723364
5081030;5723363
5081030;5723362
5081030;5723275
5081030;5723274
5081030;5723271
5081030;5723270
5081030;5723269
5081030;5723267
5081030;5723266
5081030;5723264
5081030;5723263
5081030;5722275
5081040;5723381
5081040;5723380
5081040;5723379
5081040;5723378
5081040;5723377
5081040;5723376
5081040;5723375
5081040;5723374
5081040;5723373
5081040;5723371
5081040;5723370
5081040;5723369
5081040;5723368
5081040;5723367
5081040;5723365
5081040;5723364
5081040;5723363
5081040;5723362
5081040;5723269
5081040;5723266
5081040;5723263
5081040;5722284
5081040;5722275
5081130;5723264
5081130;5723263
5081130;5722293
5081130;5722290
5081130;5722286
5081130;5722284
5081130;5722283
5081130;5722282
5081130;5722281
5081130;5722280
5081130;5722270
5081504;5723378
5081504;5723377
5081504;5723373
5081504;5723369
5081504;5723368
5081504;5723363
5081504;5723362
5081504;5723275
5081504;5723274
5081504;5723271
5081504;5723270
5081504;5723269
5081504;5723267
5081504;5723266
5081504;5722288
5081504;5722284
5081504;5722282
5081504;5722281
5100020;5822721
5100020;5822720
5100020;5822719
5100020;5822718
5100020;5822716
5100020;5822715
5100020;5822714
5100020;5822712
5100020;5822707
5100020;5822706
5100020;5822703
5100020;5822701
5100020;5822699
5100020;5822698
5100020;5822694
5100020;5822693
5100020;5822691
5100020;5822689
5100020;5822688
5100020;5822687
5100020;5822686
5100020;5822685
5100020;5822684
5100020;5822683
5100020;5822680
5100020;5822679
5100020;5822678
5100020;5822677
5100020;5822675
5100020;5822672
5100020;5822671
5100020;5822670
5100020;5822669
5100020;5822667
5100020;5822666
5100020;5822665
5100020;5822664
5100020;5822663
5100020;5822662
5100020;5822661
5100020;5822660
5100020;5822659
5100020;5822658
5100020;5822656
5100020;5822654
5100020;5822653
5100020;5822651
5100020;5822649
5100020;5822648
5100020;5822646
